created_at,entry_id,field1,field2,field3,field4,field5
2017-06-30 11:30:54 UTC,281,3.9,8.25,325.92,24.5,1005.085
2017-06-30 11:31:15 UTC,282,3.9,8.25,332.32,24.5,1005.105
2017-06-30 11:31:35 UTC,283,3.9,7.25,329.12,24.5,1005.065
2017-06-30 11:31:55 UTC,284,3.9,8.25,332.32,24.5,1005.087
2017-06-30 11:32:15 UTC,285,2.9,5.25,315.92,24.5,1005.143
2017-06-30 11:32:35 UTC,286,2.9,6.25,329.12,24.5,1005.1
2017-06-30 11:32:57 UTC,287,2.9,6.25,318.16,24.4375,1005.093
2017-06-30 11:33:15 UTC,288,1.9,5.25,305.6,24.4375,1005.113
2017-06-30 11:33:35 UTC,289,3.9,7.25,329.12,24.5,1005.12
2017-06-30 11:33:55 UTC,290,2.9,7.25,323.04,24.4375,1005.042
2017-06-30 11:34:15 UTC,291,2.9,6.25,323.68,24.5,1005.06
2017-06-30 11:34:35 UTC,292,3.9,7.25,325.28,24.4375,1005.06
2017-06-30 11:34:55 UTC,293,3.9,7.25,332.96,24.4375,1005.08
2017-06-30 11:35:15 UTC,294,3.9,7.25,326.88,24.4375,1005.125
2017-06-30 11:35:35 UTC,295,2.9,7.25,332.96,24.4375,1005.085
2017-06-30 11:35:55 UTC,296,3.9,8.25,333.6,24.4375,1005.095
2017-06-30 11:36:15 UTC,297,1.68,4.299999,327.52,24.4375,1005.09
2017-06-30 11:36:35 UTC,298,2.9,6.25,318.48,24.4375,1005.108
2017-06-30 11:36:55 UTC,299,3.9,7.25,329.76,24.4375,1005.135
2017-06-30 11:37:15 UTC,300,3.9,7.25,327.84,24.4375,1005.155
2017-06-30 11:37:35 UTC,301,3.9,7.25,325.92,24.375,1005.087
2017-06-30 11:37:55 UTC,302,2.9,6.25,313.04,24.3125,1005.123
2017-06-30 11:38:16 UTC,303,2.9,7.25,325.28,24.375,1005.123
2017-06-30 11:38:36 UTC,304,2.9,6.25,325.92,24.375,1005.137
2017-06-30 11:38:56 UTC,305,2.9,7.25,323.68,24.375,1005.12
2017-06-30 11:39:16 UTC,306,2.9,7.25,323.36,24.375,1005.105
2017-06-30 11:39:36 UTC,307,2.9,7.25,328.16,24.375,1005.118
2017-06-30 11:39:56 UTC,308,3.9,7.25,321.12,24.375,1005.103
2017-06-30 11:40:16 UTC,309,3.9,7.25,320.48,24.375,1005.155
2017-06-30 11:40:36 UTC,310,3.9,7.25,325.6,24.375,1005.115
2017-06-30 11:40:56 UTC,311,1.68,4.299999,330.72,24.375,1005.11
2017-06-30 11:41:16 UTC,312,3.9,7.25,331.36,24.375,1005.093
2017-06-30 11:41:36 UTC,313,3.9,7.25,325.92,24.4375,1005.047
2017-06-30 11:41:56 UTC,314,1.68,5.299999,325.28,24.4375,1005.03
2017-06-30 11:42:16 UTC,315,3.9,7.25,327.2,24.5,1004.968
2017-06-30 11:42:36 UTC,316,4.9,8.25,336.48,24.5625,1004.992
2017-06-30 11:42:56 UTC,317,2.68,6.299999,334.56,24.625,1004.975
2017-06-30 11:43:16 UTC,318,2.68,6.299999,339.68,24.625,1005.008
2017-06-30 11:43:36 UTC,319,2.68,6.299999,333.6,24.6875,1004.99
2017-06-30 11:43:56 UTC,320,2.68,6.299999,335.2,24.6875,1004.997
2017-06-30 11:44:16 UTC,321,2.68,6.299999,339.68,24.6875,1004.965
2017-06-30 11:44:36 UTC,322,3.68,7.299999,335.84,24.75,1004.987
2017-06-30 11:44:56 UTC,323,3.68,7.299999,340.8,24.6875,1004.965
2017-06-30 11:45:16 UTC,324,3.68,6.299999,338.24,24.75,1004.992
2017-06-30 11:45:41 UTC,325,4.68,8.299999,339.2,24.75,1004.97
2017-06-30 11:45:57 UTC,326,4.68,8.299999,342.4,24.75,1004.977
2017-06-30 11:46:17 UTC,327,3.35,6.559999,335.84,24.75,1004.97
2017-06-30 11:46:37 UTC,328,3.35,6.559999,334.24,24.6875,1004.915
2017-06-30 11:46:57 UTC,329,3.68,7.299999,337.28,24.6875,1004.925
2017-06-30 11:47:17 UTC,330,4.68,8.299999,335.68,24.625,1004.905
2017-06-30 11:47:37 UTC,331,3.68,7.299999,330.08,24.625,1004.902
2017-06-30 11:47:57 UTC,332,2.68,6.299999,327.84,24.625,1004.955
2017-06-30 11:48:17 UTC,333,3.68,6.299999,334.56,24.625,1004.958
2017-06-30 11:48:37 UTC,334,3.68,6.299999,336.48,24.625,1004.94
2017-06-30 11:48:57 UTC,335,3.9,7.25,316.32,24.625,1005.005
2017-06-30 11:49:17 UTC,336,4.9,8.25,330.4,24.6875,1005.005
2017-06-30 11:49:37 UTC,337,3.9,7.25,318.56,24.75,1004.987
2017-06-30 11:49:57 UTC,338,1.68,5.299999,323.68,24.8125,1004.977
2017-06-30 11:50:13 UTC,339,2.68,5.299999,325.92,24.8125,1004.963
2017-06-30 11:50:37 UTC,340,3.9,7.25,323.68,24.8125,1004.95
